Hour,Electric Load (kW)
1761,1245.322
1762,1261.629
1763,1271.839
1764,1236.472
1765,1264.43
1766,1258.096
1767,1249.533
1768,1258.843
1769,1259.532
1770,922.272
1771,934.015
1772,770.304
1773,729.442
1774,604.681
1775,605.998
1776,594.912
1777,585.165
1778,583.909
1779,585.403
1780,715.499
1781,715.712
1782,1000.621
1783,1144.654
1784,1187.62
1785,1218.26
1786,1228.503
1787,1233.227
1788,1191.466
1789,1220.488
1790,1221.395
1791,1225.807
1792,1234.834
1793,1241.532
1794,917.776
1795,929.255
1796,763.215
1797,722.794
1798,614.428
1799,617.926
1800,605.233
1801,589.232
1802,594.771
1803,607.685
1804,741.329
1805,744.315
1806,1025.641
1807,1165.48
1808,1194.672
1809,1236.259
1810,1236.876
1811,1233.859
1812,1199.309
1813,1244.82
1814,1242.953
1815,1244.862
1816,1255.622
1817,1256.446
1818,911.996
1819,920.265
1820,749.333
1821,705.646
1822,593.914
1823,592.68
1824,583.255
1825,580.755
1826,580.208
1827,581.54
1828,614.614
1829,620.136
1830,715.927
1831,844.054
1832,847.75
1833,961.191
1834,969.521
1835,970.953
1836,938.937
1837,928
1838,931.129
1839,846.376
1840,855.408
1841,815.406
1842,745.659
1843,752.477
1844,617.894
1845,617.228
1846,584.309
1847,585.287
1848,572.325
1849,561.256
1850,572.448
1851,575.414
1852,605.165
1853,612.488
1854,709.995
1855,694.203
1856,772.75
1857,753.099
1858,756.126
1859,759.275
1860,760.214
1861,761.208
1862,760.529
1863,765.292
1864,734.467
1865,677.827
1866,622.247
1867,629.142
1868,601.606
1869,600.566
1870,567.621
1871,568.626
1872,555.947
1873,572.604
1874,577.2
1875,593.793
1876,727.01
1877,725.316
1878,1015.978
1879,1139.179
1880,1171.481
1881,1206.581
1882,1216.355
1883,1219.567
1884,1179.825
1885,1215.28
1886,1226.954
1887,1243.699
1888,1257.618
1889,1254.205
1890,909.611
1891,905.101
1892,737.504
1893,696.826
1894,583.921
1895,584.842
1896,572.188
1897,571.991
1898,572.701
1899,576.894
1900,712.107
1901,716.635
1902,1002.235
1903,1142.579
1904,1175.938
1905,1211.184
1906,1221.087
1907,1224.574
1908,1184.138
1909,1218.473
1910,1219.711
1911,1221.269
1912,1230.502
1913,1231.454
1914,899.194
1915,902.954
1916,738.725
1917,703.704
1918,594.719
1919,591.214
1920,576.915
1921,577.324
1922,580.123
1923,580.025
1924,710.059
1925,711.455
1926,999.269
1927,1143.612
1928,1180.834
1929,1217.472
1930,1226.268
1931,1228.702
1932,1189.096
1933,1219.09
1934,1215.573
1935,1215.174
1936,1222.355
1937,1224.411
1938,892.058
1939,901.263
1940,739.868
1941,699.929
1942,587.186
1943,588.733
1944,576.274
1945,575.131
1946,574.422
1947,574.406
1948,709.762
1949,711.698
1950,998.323
1951,1136.732
1952,1179.551
1953,1216.993
1954,1222.652
1955,1224.268
1956,1186.419
1957,1224.485
1958,1222.086
1959,1227.08
1960,1240.7
1961,1233.62
1962,894.621
1963,903.603
1964,737.24
1965,697.257
1966,587.275
1967,590.374
1968,578.515
1969,578.214
1970,580.309
1971,583.336
1972,724.113
1973,726.788
1974,1014.095
1975,1149.588
1976,1184.673
1977,1215.396
1978,1225.704
1979,1232.912
1980,1197.745
1981,1241.747
1982,1247.303
1983,1242.434
1984,1241.028
1985,1243.774
1986,904.832
1987,907.212
1988,750.492
1989,716.582
1990,617.886
1991,625.686
1992,612.393
1993,602.554
1994,609.89
1995,609.9
1996,630.899
1997,625.221
1998,709.469
1999,824.725
2000,835.007
2001,956.054
2002,964.798
2003,967.317
2004,936.621
2005,930.157
2006,934.372
2007,846.43
2008,860.176
2009,813.654
2010,747.692
2011,753.935
2012,624.682
2013,631.977
2014,610.453
2015,612.644
2016,603.454
2017,588.277
2018,599.258
2019,608.918
2020,637.85
2021,627.822
2022,713.987
2023,687.442
2024,761.085
2025,750.145
2026,759.301
2027,761.425
2028,761.493
2029,756.508
2030,762.476
2031,762.483
2032,738.515
